,Year,Region,Country,Yields,Prec,Tmean,Tmax,Tmin,SPEI,FertApp,IrrRate,CO2,FACE_dummy,log_Yields,log_CO2,log_Prec,log_Tmean,log_Tmax,PDO,TAG,WPWP,C1,C2,C3,C4,C5,C6,C7,C8,DCV,Trend,Sq_Trend,Asia,EAsia,SEAsia,SAsia,WAsia,CAsia
631,1986,SAsia,Afghanistan,22400,166.93,17.26,24.24,9.94,-1.31419,1.284988312,7.1,347.42,0,10.01681624,5.850534423,5.117574563,2.848391686,3.188004161,1,0,0,0,0,0,0,1,0,0,0,5,26,676,1,0,0,1,0,0
658,1987,SAsia,Afghanistan,20000,186.57,17.45,24.12,10.35,-8.67094,1.575199371,7.2,349.19,0,9.903487553,5.855616187,5.228806504,2.859339649,3.183041372,1,0,0,0,0,0,0,1,0,0,0,5,27,729,1,0,0,1,0,0
681,1988,SAsia,Afghanistan,19056,212.72,18.12,25.09,10.63,-8.16583,1.865409508,7.5,351.57,0,9.855137292,5.862408838,5.359976747,2.897016301,3.22246936,0,0,1,0,0,0,0,0,0,1,0,7,28,784,1,0,0,1,0,0
712,1989,SAsia,Afghanistan,18824,171.26,17.11,24.4,9.37,-0.55065,2.155619063,7.6,353.12,0,9.84288793,5.866807943,5.14318287,2.839663088,3.194583132,0,0,1,0,0,0,0,0,0,1,0,7,29,841,1,0,0,1,0,0
732,1990,SAsia,Afghanistan,19029,129.8,17.92,25.05,10.36,1.85226,2.445827866,7.6,354.39,0,9.85371941,5.870398002,4.865994804,2.885917408,3.220873828,0,1,1,0,0,1,0,0,0,0,0,3,30,900,1,0,0,1,0,0
756,1991,SAsia,Afghanistan,19364,234.18,17.12,23.92,9.79,0.41957,2.736036024,7.9,355.61,0,9.871170951,5.873834625,5.45609005,2.840247371,3.174714929,0,0,0,0,0,0,0,0,0,0,1,0,31,961,1,0,0,1,0,0
786,1992,SAsia,Afghanistan,17143,244.59,16.38,23.17,9.24,-5.97469,3.02626811,8.2,356.45,0,9.749345206,5.876193978,5.499583339,2.796061078,3.142858338,1,1,0,0,1,0,0,0,0,0,0,2,32,1024,1,0,0,1,0,0
823,1993,SAsia,Afghanistan,17143,232.3,17.01,23.8,9.77,-3.68099,3.31650537,8.4,357.1,0,9.749345206,5.878015855,5.44802964,2.833801406,3.169685581,1,0,0,0,0,0,0,1,0,0,0,5,33,1089,1,0,0,1,0,0
852,1994,SAsia,Afghanistan,19000,178.98,17.19,24.17,9.82,0.85276,3.606747281,8.5,358.83,0,9.852194258,5.882848739,5.187274068,2.844327819,3.185112195,1,0,0,0,0,0,0,1,0,0,0,5,34,1156,1,0,0,1,0,0
883,1995,SAsia,Afghanistan,22941,185.44,17.22,24.31,9.57,1.72505,3.896994334,8.5,360.82,0,10.04068098,5.888379219,5.22273138,2.846071499,3.190887788,1,0,1,0,0,0,1,0,0,0,0,4,35,1225,1,0,0,1,0,0
916,1996,SAsia,Afghanistan,19429,218.53,17.09,23.85,9.75,-3.4869,3.562201653,8.5,362.61,0,9.874522074,5.893327877,5.386923305,2.838493497,3.171784217,1,0,1,0,0,0,1,0,0,0,0,4,36,1296,1,0,0,1,0,0
944,1997,SAsia,Afghanistan,22222,257.07,17.46,24.32,9.98,3.03869,3.227480006,8.5,363.73,0,10.00883807,5.896411834,5.549348421,2.85991255,3.191299057,1,1,0,0,1,0,0,0,0,0,0,2,37,1369,1,0,0,1,0,0
975,1998,SAsia,Afghanistan,25000,234.24,17.48,24.23,10.2,-0.46025,2.892707199,8.5,366.7,0,10.1266311,5.904544075,5.456346231,2.86105737,3.187591535,1,1,1,1,0,0,0,0,0,0,0,1,38,1444,1,0,0,1,0,0
1008,1999,SAsia,Afghanistan,20000,143.58,18.44,25.3,10.93,-3.03304,2.557944154,8.5,368.38,0,9.903487553,5.909115014,4.966892371,2.914522218,3.230804396,0,0,0,0,0,0,0,0,0,0,1,0,39,1521,1,0,0,1,0,0
1037,2000,SAsia,Afghanistan,20000,88.74,18.23,25.19,10.54,-4.59135,2.223191664,8.5,369.55,0,9.903487553,5.912286049,4.485710746,2.903068589,3.22644709,0,0,0,0,0,0,0,0,0,0,1,0,40,1600,1,0,0,1,0,0
1067,2001,SAsia,Afghanistan,20000,101.33,18.49,25.64,10.7,-7.6889,1.888449385,8.5,371.14,0,9.903487553,5.91657935,4.618382517,2.917230045,3.244153632,0,0,1,0,0,0,0,0,0,1,0,7,41,1681,1,0,0,1,0,0
1097,2002,SAsia,Afghanistan,28741,155.98,18.36,25.44,10.63,-13.7511,1.553794733,8.5,373.28,0,10.26607995,5.922328808,5.049727794,2.910174385,3.236322738,0,0,1,0,0,0,0,0,0,1,0,7,42,1764,1,0,0,1,0,0
1127,2003,SAsia,Afghanistan,29931,209.14,17.56,24.29,10.22,-12.39801,1.219032532,8.5,375.8,0,10.30665001,5.929057087,5.343003884,2.865623588,3.190064743,1,0,1,0,0,0,1,0,0,0,0,4,43,1849,1,0,0,1,0,0
1160,2004,SAsia,Afghanistan,23744,111.94,18.21,25.27,10.61,-7.55175,0.88390211,8.5,377.52,0,10.07508515,5.933623547,4.717963013,2.901970894,3.229617921,1,1,0,0,1,0,0,0,0,0,0,2,44,1936,1,0,0,1,0,0
1190,2005,SAsia,Afghanistan,30313,145.3,17.79,24.86,10.3,-4.03707,0.548955132,8.5,379.8,0,10.31933194,5.939644798,4.978800571,2.878636502,3.213260086,1,1,1,1,0,0,0,0,0,0,0,1,45,2025,1,0,0,1,0,0
1221,2006,SAsia,Afghanistan,33750,146.84,18.74,25.87,11.21,0.31618,0.561140123,8.5,381.9,0,10.4267357,5.945158794,4.989343559,2.930660277,3.253083996,1,1,0,0,1,0,0,0,0,0,0,2,46,2116,1,0,0,1,0,0
1252,2007,SAsia,Afghanistan,32471,199.47,17.79,24.92,10.46,-1.65811,0.573470476,8.5,383.79,0,10.38810266,5.950095528,5.295663849,2.878636502,3.215670694,0,1,0,0,0,0,0,0,1,0,0,6,47,2209,1,0,0,1,0,0
1291,2008,SAsia,Afghanistan,32211,127.17,19.1,26.24,11.58,0.38527,0.585370662,8.5,385.6,0,10.38006329,5.954800563,4.845524774,2.949688335,3.267284964,0,0,0,0,0,0,0,0,0,0,1,0,48,2304,1,0,0,1,0,0
1317,2009,SAsia,Afghanistan,32250,236.5,17.96,24.88,10.65,-9.43846,0.597081085,8.5,387.43,0,10.38127332,5.959535187,5.465948208,2.888147063,3.214064268,0,0,1,0,0,0,0,0,0,1,0,7,49,2401,1,0,0,1,0,0
1358,2010,SAsia,Afghanistan,32308,225.12,18.54,25.55,11.22,-11.17032,0.609260229,8.5,389.9,0,10.38307016,5.965890296,5.416633593,2.91993056,3.240637317,0,1,1,0,0,1,0,0,0,0,0,3,50,2500,1,0,0,1,0,0
1387,2011,SAsia,Afghanistan,32000,232.25,18.45,25.46,11.16,2.17747,0.62157025,8.5,391.65,0,10.37349118,5.970368584,5.447814378,2.91506437,3.237108593,0,1,0,0,0,0,0,0,1,0,0,6,51,2601,1,0,0,1,0,0
1419,2012,SAsia,Afghanistan,24390,306.94,17.7,24.67,10.34,-5.37836,0.634340205,8.5,393.85,0,10.10192849,5.975970126,5.726652289,2.87356464,3.205587931,0,1,0,0,0,0,0,0,1,0,0,6,52,2704,1,0,0,1,0,0
1447,2013,SAsia,Afghanistan,24980,306.95,18.37,25.34,11.03,-0.63404,0.646424066,8.5,396.52,0,10.12583078,5.982726481,5.726684868,2.910718899,3.232384175,0,1,1,0,0,1,0,0,0,0,0,3,53,2809,1,0,0,1,0,0
1477,2014,SAsia,Afghanistan,24409,307.26,18.33,25.13,10.89,-2.20925,0.665418445,8.5,398.65,0,10.1027072,5.988083839,5.727694295,2.908539062,3.224062352,1,0,1,0,0,0,1,0,0,0,0,4,54,2916,1,0,0,1,0,0
1505,2015,SAsia,Afghanistan,25000,376.33,18.05,24.66,10.88,-5.96874,0.677708876,8.5,400.83,0,10.1266311,5.993537397,5.930466418,2.893145685,3.205182498,1,0,1,0,0,0,1,0,0,0,0,4,55,3025,1,0,0,1,0,0
806,1992,WAsia,Azerbaijan,7292,137.27,19.53,25.37,13.49,9.3724,5.136737051,31.7,356.45,0,8.894533136,5.876193978,4.921949789,2.971951745,3.233567374,1,1,0,0,1,0,0,0,0,0,0,2,32,1024,1,0,0,0,1,0
837,1993,WAsia,Azerbaijan,9461,121.45,20.08,26.14,13.89,10.09434,4.78850415,32,357.1,0,9.154933365,5.878015855,4.799502655,2.999724295,3.263466708,1,0,0,0,0,0,0,1,0,0,0,5,33,1089,1,0,0,0,1,0
868,1994,WAsia,Azerbaijan,10059,78.98,20.48,26.38,14.49,-1.22398,4.440785094,32.1,358.83,0,9.216223035,5.882848739,4.369194656,3.0194488,3.272606147,1,0,0,0,0,0,0,1,0,0,0,5,34,1156,1,0,0,0,1,0
895,1995,WAsia,Azerbaijan,19890,129.27,20.82,26.69,14.84,2.11281,4.093630316,32.4,360.82,0,9.897972372,5.888379219,4.86190324,3.035914063,3.284288963,1,0,1,0,0,0,1,0,0,0,0,4,35,1225,1,0,0,0,1,0
929,1996,WAsia,Azerbaijan,36917,88.34,21.11,27.01,15.17,0.97197,4.08305066,32.1,362.61,0,10.51642743,5.893327877,4.481193006,3.049746862,3.296207168,1,0,1,0,0,0,1,0,0,0,0,4,36,1296,1,0,0,0,1,0
957,1997,WAsia,Azerbaijan,46082,122.87,20.37,26.27,14.5,-2.23212,4.073029242,31.6,363.73,0,10.7381777,5.896411834,4.811126886,3.01406323,3.268427604,1,1,0,0,1,0,0,0,0,0,0,2,37,1369,1,0,0,0,1,0
989,1998,WAsia,Azerbaijan,48046,102.63,21.38,27.63,15.35,0.42889,4.063525909,30.8,366.7,0,10.77991416,5.904544075,4.631130288,3.062455906,3.318902139,1,1,1,1,0,0,0,0,0,0,0,1,38,1444,1,0,0,0,1,0
1022,1999,WAsia,Azerbaijan,44415,133.18,21.86,27.99,15.7,-13.91622,4.054555249,30.7,368.38,0,10.70133253,5.909115014,4.891701597,3.084658483,3.331847304,0,0,0,0,0,0,0,0,0,0,1,0,39,1521,1,0,0,0,1,0
1051,2000,WAsia,Azerbaijan,50191,143.76,21.9,27.94,15.96,-13.47766,4.046077523,30.2,369.55,0,10.82359101,5.912286049,4.968145242,3.086486637,3.330059354,0,0,0,0,0,0,0,0,0,0,1,0,40,1600,1,0,0,0,1,0
1083,2001,WAsia,Azerbaijan,48495,87.5,21.84,28.21,15.6,-14.04886,4.03821747,30.1,371.14,0,10.78921598,5.91657935,4.471638793,3.083743151,3.339676525,0,0,1,0,0,0,0,0,0,1,0,7,41,1681,1,0,0,0,1,0
1113,2002,WAsia,Azerbaijan,46532,116.64,21.9,28.31,15.75,-4.69879,4.146227671,30.1,373.28,0,10.74789553,5.922328808,4.759092268,3.086486637,3.343215099,0,0,1,0,0,0,0,0,0,1,0,7,42,1764,1,0,0,0,1,0
1146,2003,WAsia,Azerbaijan,47042,98.95,21.02,27.12,15.12,-4.41524,4.150980002,30,375.8,0,10.7587961,5.929057087,4.594614672,3.045474365,3.300271463,1,0,1,0,0,0,1,0,0,0,0,4,43,1849,1,0,0,0,1,0
1176,2004,WAsia,Azerbaijan,39810,128.06,21.11,27.36,14.89,-3.81162,4.158344054,30.1,377.52,0,10.59187342,5.933623547,4.852498904,3.049746862,3.309082093,1,1,0,0,1,0,0,0,0,0,0,2,44,1936,1,0,0,0,1,0
1205,2005,WAsia,Azerbaijan,35903,89.58,21.61,27.52,15.74,-5.89201,4.133259702,30.1,379.8,0,10.48857614,5.939644798,4.495132081,3.073156171,3.314913013,1,1,1,1,0,0,0,0,0,0,0,1,45,2025,1,0,0,0,1,0
1235,2006,WAsia,Azerbaijan,42375,164.03,21.9,27.84,15.89,-7.88801,4.188282473,30.1,381.9,0,10.65431384,5.945158794,5.100049338,3.086486637,3.326473835,1,1,0,0,1,0,0,0,0,0,0,2,46,2116,1,0,0,0,1,0
1270,2007,WAsia,Azerbaijan,33886,53.86,21.75,27.9,15.64,-8.52832,4.312760255,30.1,383.79,0,10.43075723,5.950095528,3.986388087,3.079613758,3.328626689,0,1,0,0,0,0,0,0,1,0,0,6,47,2209,1,0,0,0,1,0
1304,2008,WAsia,Azerbaijan,27973,93.74,21.81,27.86,15.93,-17.19959,4.415984806,30.1,385.6,0,10.23899504,5.954800563,4.540524992,3.08236858,3.327191968,0,0,0,0,0,0,0,0,0,0,1,0,48,2304,1,0,0,0,1,0
1333,2009,WAsia,Azerbaijan,25279,217.3,19.96,25.86,14.26,-9.56461,4.528403439,29.9,387.43,0,10.13772929,5.959535187,5.381278887,2.993730271,3.252697373,0,0,1,0,0,0,0,0,0,1,0,7,49,2401,1,0,0,0,1,0
1370,2010,WAsia,Azerbaijan,23963,146.06,21.77,27.83,15.66,-8.87623,4.634346889,29.9,389.9,0,10.08426625,5.965890296,4.984017496,3.080532875,3.326114576,0,1,1,0,0,1,0,0,0,0,0,3,50,2500,1,0,0,0,1,0
1402,2011,WAsia,Azerbaijan,20947,104.92,21.11,27.31,14.98,-11.56808,4.759655385,29.9,391.65,0,9.949750717,5.970368584,4.653198155,3.049746862,3.307252935,0,1,0,0,0,0,0,0,1,0,0,6,51,2601,1,0,0,0,1,0
1430,2012,WAsia,Azerbaijan,22249,106.27,22.16,28.34,16.02,-6.48878,4.877481012,29.9,393.85,0,10.01005234,5.975970126,4.665983025,3.098288862,3.344274234,0,1,0,0,0,0,0,0,1,0,0,6,52,2704,1,0,0,0,1,0
1459,2013,WAsia,Azerbaijan,22808,134.84,20.3,26.03,14.57,-9.82308,4.989120854,30.1,396.52,0,10.03486663,5.982726481,4.90408889,3.010620886,3.259249719,0,1,1,0,0,1,0,0,0,0,0,3,53,2809,1,0,0,0,1,0
1489,2014,WAsia,Azerbaijan,24646,92.3,21.89,27.98,15.91,-11.69227,4.513491488,30.2,398.65,0,10.11236989,5.988083839,4.525044142,3.086029912,3.331489969,1,0,1,0,0,0,1,0,0,0,0,4,54,2916,1,0,0,0,1,0
1519,2015,WAsia,Azerbaijan,23696,105.18,21.96,28.36,15.7,-7.88068,4.578328244,30.1,400.83,0,10.07306154,5.993537397,4.655673168,3.089222617,3.344979702,1,0,1,0,0,0,1,0,0,0,0,4,55,3025,1,0,0,0,1,0
12,1961,SAsia,Bangladesh,17005,836.42,16.39,19.87,13.48,7.20728,3.680083952,4.5,317.64,0,9.741262697,5.760918666,6.729130879,2.796671393,2.989211057,0,1,0,0,0,0,0,0,1,0,0,6,1,1,1,0,0,1,0,0
35,1962,SAsia,Bangladesh,15302,932.51,16.4,20.04,13.17,9.19405,3.953254432,5,318.45,0,9.635738818,5.763465477,6.837879875,2.797281335,2.997730276,0,1,1,0,0,1,0,0,0,0,0,3,2,4,1,0,0,1,0,0
